global_index	edit_id	verb	original_en	result_zh	time_zh
331	human_023_E1	make	Starting at 12.0 seconds, make the inverted athlete's visible arm muscles more defined over the next two seconds.	倒立运动员可见的手臂肌肉轮廓是否变得更加明显？	该结果是否在 2 秒内实现？
343	human_029_E1	add	Starting at 14.0 seconds, add light freckles across the man's visible forearm skin over the next two seconds.	男子可见的前臂皮肤上是否添加了浅色雀斑？	该添加是否在 2 秒内完成？
437	human_090_E2A	reverse	Starting at 34.0 seconds, reverse the tomato-dicing process by one completed cutting step over three seconds.	番茄切丁过程是否反向退回一个已完成的切割步骤？	该反向处理是否在 3 秒内完成？
450	human_099_E2B	zoom	Starting at 29.0 seconds, zoom in on the open engine bay over three seconds.	镜头是否拉近并聚焦打开的发动机舱？	该镜头变焦是否在 3 秒内完成？
474	human_115_E2B	zoom	Starting at 29.0 seconds, zoom in to an upper-body view of the comedian over three seconds.	镜头是否推近到喜剧演员的上半身视图？	该镜头变焦是否在 3 秒内完成？
493	human_127_E1	add	Starting at 12.0 seconds, add a neatly trimmed gray moustache to the older man's face over the next two seconds.	年长男子的脸上是否添加了修剪整齐的灰色小胡子？	该添加是否在 2 秒内完成？
495	human_127_E2B	move	Starting at 27.0 seconds, move the camera to a wider two-person view over three seconds.	镜头是否移到包含两个人的更宽视图？	该移动是否在 3 秒内完成？
510	human_139_E2B	move	Starting at 29.0 seconds, move the camera smoothly closer to the pinball playfield over three seconds.	镜头是否平稳地靠近弹球机台面？	该移动是否在 3 秒内完成？
540	human_159_E2B	zoom	Starting at 35.0 seconds, zoom in on the two gel containers over three seconds.	镜头是否推近并聚焦两个凝胶容器？	该镜头变焦是否在 3 秒内完成？
562	human_175_E1	zoom	Starting at 20.0 seconds, zoom in on the medium-format camera mounted on the tripod over four seconds.	镜头是否推近并聚焦安装在三脚架上的中画幅相机？	该镜头变焦是否在 4 秒内完成？
582	human_187_E2B	zoom	Starting at 29.0 seconds, zoom out to include the woman's upper torso over three seconds.	镜头是否拉远并纳入女子的上半身？	该镜头变焦是否在 3 秒内完成？
588	human_191_E2B	move	Starting at 29.0 seconds, move the camera smoothly closer to the man's face and microphone over five seconds.	镜头是否平稳地靠近男子的脸部和麦克风？	该移动是否在 5 秒内完成？
644	object_027_E2A	move	Starting at 29.0 seconds, move the camera to a centered view directly behind the main bus over four seconds.	镜头是否移到主公交车正后方的居中视角？	该移动是否在 4 秒内完成？
774	object_113_E2B	make	Starting at 29.0 seconds, make the stunt kite follow four compact alternating zigzags over six seconds.	特技风筝是否完成恰好四次紧凑的交替之字形飞行？	该结果是否在 6 秒内实现？
794	object_127_E2A	make	Starting at 29.0 seconds, make the active opossum circle the supine opossum once over five seconds.	活跃的负鼠是否围绕仰卧的负鼠恰好绕行一圈？	该结果是否在 5 秒内实现？
839	object_160_E2A	make	Starting at 29.0 seconds, make the brown toad lift its front body with both forelegs twice over five seconds.	棕色蟾蜍是否用两条前腿恰好抬起前半身两次？	该结果是否在 5 秒内实现？
852	object_168_E2B	make	Starting at 29.0 seconds, make the opossum-like animal raise both forepaws together twice over five seconds.	负鼠状动物是否同时抬起两只前爪恰好两次？	该结果是否在 5 秒内实现？
909	process_005_E2B	zoom	Starting at 29.0 seconds, zoom in smoothly over four seconds on the red convection plumes around the suspended tea bag.	镜头是否平稳推近并聚焦悬挂茶包周围的红色对流羽流？	该镜头变焦是否在 4 秒内完成？
913	process_012_E1	transition	Starting at 13.0 seconds, transition the left-jar nails over six seconds from scattered brown oxidation to a stage where rust covers half of their visible surfaces.	左侧罐中的钉子是否从零散的棕色氧化状态转变为锈迹覆盖其可见表面一半？	该转变是否在 6 秒内完成？
937	process_023_E1	transition	Starting at 13.0 seconds, transition the mushroom clusters over five seconds from small rounded caps to a later stage with several medium caps spreading outward.	蘑菇簇是否从小型圆帽状态转变为多个中等大小菌盖向外展开？	该转变是否在 5 秒内完成？
953	process_035_E2A	zoom	Starting at 25.0 seconds, zoom in smoothly over four seconds on the narrowing bright lunar crescent.	镜头是否平稳推近并聚焦正在变窄的明亮月牙？	该镜头变焦是否在 4 秒内完成？
960	process_040_E2B	transition	Starting at 28.0 seconds, transition the leftmost hatchling over five seconds to a later stage in which it has completely emerged from the shell.	最左侧幼体是否完全脱离蛋壳？	该转变是否在 5 秒内完成？
961	process_041_E1	transition	Starting at 13.0 seconds, transition the yellow flower over five seconds from its full-bloom plateau to a later stage with visibly drooping outer petals.	黄色花朵是否从完全盛开转变为外层花瓣明显下垂？	该转变是否在 5 秒内完成？
965	process_045_E2A	transition	Starting at 24.0 seconds, transition the backyard snow over five seconds to a later accumulation stage that completely buries the visible orange wooden stake.	后院积雪是否达到完全掩埋可见橙色木桩的更深积累阶段？	该转变是否在 5 秒内完成？
