global_index	edit_id	verb	original_en	result_zh	time_zh
301	human_001_E1	change	Starting at 16.0 seconds, change the green fortress toy from green to stone gray over the next two seconds.	堡垒玩具是否从绿色变为石质灰色？	该变化是否在 2 秒内完成？
304	human_002_E1	change	Starting at 14.0 seconds, change the woman's hair from brown to dark auburn over the next two seconds.	女子的头发是否从棕色变为深赤褐色？	该变化是否在 2 秒内完成？
307	human_007_E1	change	Starting at 14.0 seconds, change the man's short beard to a narrow moustache over the next two seconds.	男子的短胡须是否变为窄八字胡？	该变化是否在 2 秒内完成？
309	human_007_E2B	change	Starting at 29.0 seconds, change the view to the speaker's first-person perspective over the next three seconds.	视角是否切换为说话者的第一人称视角？	该变化是否在 3 秒内完成？
321	human_017_E2B	render	Starting at 31.0 seconds, render the standing character's curved-handled cane as a clay-animation prop over the next two seconds.	站立角色的弯柄手杖是否被渲染为黏土动画道具？	该渲染是否在 2 秒内完成？
330	human_020_E2B	transform	Starting at 32.0 seconds, transform the full frame into an authentic 1980s home-video recording over the next two seconds.	整个画面是否转变为真实的 1980 年代家庭录像风格？	该转换是否在 2 秒内完成？
334	human_026_E1	change	Starting at 12.0 seconds, change the leading runner's red jersey to bright yellow over the next two seconds.	领跑者的运动衫是否从红色变为亮黄色？	该变化是否在 2 秒内完成？
337	human_027_E1	change	Starting at 15.0 seconds, change the woman's tied-back blond hair to loose shoulder-length hair over the next two seconds.	女子束起的金发是否变为披散的齐肩发？	该变化是否在 2 秒内完成？
340	human_028_E1	change	Starting at 14.0 seconds, change the green electric guitar to a sunburst brown finish over the next two seconds.	电吉他是否从绿色变为棕色渐变漆面？	该变化是否在 2 秒内完成？
342	human_028_E2B	render	Starting at 29.0 seconds, render the performance background in a carved woodcut style over the next two seconds.	表演背景是否被渲染为雕刻木版画风格？	该渲染是否在 2 秒内完成？
346	human_031_E1	change	Starting at 14.0 seconds, change the red storage cabinet in the background to teal over the next two seconds.	背景中的储物柜是否从红色变为蓝绿色？	该变化是否在 2 秒内完成？
357	human_039_E2B	change	Starting at 29.0 seconds, change the view to the podcast speaker's first-person perspective over three seconds.	视角是否切换为播客说话者的第一人称视角？	该变化是否在 3 秒内完成？
361	human_045_E1	change	Starting at 14.0 seconds, change the clear storage-bin lid to translucent blue over the next two seconds.	透明储物箱盖是否变为半透明蓝色？	该变化是否在 2 秒内完成？
364	human_046_E1	change	Starting at 14.0 seconds, change the middle singer's short hair to shoulder-length braids over the next two seconds.	中间歌手的短发是否变为齐肩辫发？	该变化是否在 2 秒内完成？
367	human_047_E1	change	Starting at 16.0 seconds, change the sunny courtyard to lightly overcast conditions over the next three seconds.	庭院天气是否从阳光明媚变为轻度阴天？	该变化是否在 3 秒内完成？
370	human_048_E1	change	Starting at 14.0 seconds, change the older man's red suspenders to navy blue over the next two seconds.	年长男子的背带是否从红色变为海军蓝色？	该变化是否在 2 秒内完成？
